FLX	FLY	FRX	FRY
-3	0.5	3	0.5
-3	0.500197	3	0.500197
-3	0.500986	3	0.500986
-3	0.502757	3	0.502757
-3	0.505899	3	0.505899
-3	0.510793	3	0.510793
-3	0.517816	3	0.517816
-3	0.527333	3	0.527333
-3	0.539702	3	0.539702
-3	0.555269	3	0.555269
-3	0.574368	3	0.574368
-3	0.597316	3	0.597316
-3	0.624419	3	0.624419
-3	0.655965	3	0.655965
-3	0.692222	3	0.692222
-3	0.733444	3	0.733444
-3	0.779861	3	0.779861
-3	0.831686	3	0.831686
-3	0.889108	3	0.889108
-3	0.952295	3	0.952295
-3	1.021394	3	1.021394
-3	1.096525	3	1.096525
-3	1.177787	3	1.177787
-3	1.265253	3	1.265253
-3	1.358974	3	1.358974
-3	1.458974	3	1.458974
-2.999422856	1.562114725	3.000573856	1.555832727
-2.99815676	1.668376528	3.001813755	1.649566558
-2.996081277	1.777737087	3.003801236	1.740189332
-2.993072262	1.890150382	3.006603074	1.827733508
-2.988998431	2.005560638	3.010275803	1.912240401
-2.983726759	2.1238873	3.014862058	1.993763503
-2.977119709	2.245046945	3.020394734	2.072360795
-2.969037481	2.368935276	3.026897166	2.148101165
-2.959343116	2.495436082	3.034380163	2.221061798
-2.947901761	2.624409344	3.04284621	2.291334651
-2.934580317	2.75571315	3.052291052	2.359012745
-2.919251827	2.889183984	3.062704048	2.424206662
-2.901797673	3.024647739	3.074067336	2.487025762
-2.882108019	3.161917156	3.086360285	2.547599561
-2.860085257	3.300791023	3.099557954	2.606058846
-2.835642542	3.441066462	3.113634663	2.662541738
-2.808707729	3.582523629	3.128565029	2.717195831
-2.779224206	3.724941013	3.144323875	2.770175
-2.747154966	3.868084375	3.160887468	2.821645364
-2.712477913	4.011721825	3.178235915	2.871769813
-2.675190663	4.155615976	3.196354187	2.920722832
-2.635310237	4.299531241	3.215230951	2.968678957
-2.592876003	4.443228055	3.234860777	3.015823408
-2.54794433	4.586477657	3.255243877	3.062336377
-2.500592641	4.729047714	3.276389487	3.108406641
-2.450914985	4.870721583	3.298311445	3.154214822
-2.399030412	5.011282234	3.321028952	3.199950993
-2.345068731	5.150531141	3.344570251	3.245798023
-2.289182706	5.28827197	3.368968171	3.291943177
-2.23153433	5.424327266	3.394263263	3.338565666
-2.172306156	5.5585294	3.420496331	3.385844348
-2.111686342	5.690727784	3.447717389	3.433953504
-2.049874787	5.820789117	3.475974674	3.483057793
-1.98708402	5.948585101	3.505322862	3.533328046
-1.923528748	6.074012011	3.535814982	3.584922611
-1.85942952	6.196981691	3.56750004	3.637990569
-1.795005858	6.317418741	3.60043216	3.692680928
-1.730485427	6.435258261	3.634656462	3.749136054
-1.666085409	6.550458264	3.670216878	3.807489451
-1.602026379	6.662981772	3.707150176	3.867870987
-1.538518958	6.772810566	3.745485901	3.930400911
-1.475767422	6.879938575	3.785242775	3.995190458
-1.413971263	6.984364298	3.82643648	4.062356993
-1.353316192	7.086099568	3.869066528	4.131997552
-1.293975863	7.185168344	3.913121063	4.204205144
-1.23611699	7.281595818	3.958579148	4.279074871
-1.179888198	7.375416486	4.00540575	4.356687172
-1.125426303	7.466669438	4.05355324	4.437119819
-1.072849187	7.555405239	4.102955579	4.520434889
-1.022267187	7.641668239	4.153537579	4.606697889
-0.973768303	7.725512438	4.20521124	4.695962819
-0.927425198	7.806997486	4.25786875	4.788268172
-0.88329999	7.886176818	4.311396148	4.883655871
-0.841433863	7.963113344	4.365663063	4.982150144
-0.801856192	8.037869568	4.420526528	5.083767552
-0.764575263	8.110514298	4.47583248	5.188506993
-0.729592422	8.181113575	4.531417775	5.296365458
-0.696890958	8.249735566	4.587113901	5.407325911
-0.666438379	8.316461772	4.642738176	5.521350987
