FLX	FLY	FRX	FRY
-3.030488245	-0.257564667	2.782986286	1.226859089
-3.030683245	-0.256800667	2.782791286	1.227623089
-3.031121245	-0.255084667	2.782353286	1.229339089
-3.031898245	-0.252040667	2.781576286	1.232383089
-3.033109245	-0.247297667	2.780365286	1.237126089
-3.034847245	-0.240493667	2.778627286	1.243930089
-3.037201245	-0.231272667	2.776273286	1.253151089
-3.040261245	-0.219287667	2.773213286	1.265136089
-3.044113245	-0.204204667	2.769361286	1.280219089
-3.048838245	-0.185699667	2.764636286	1.298724089
-3.054515245	-0.163464667	2.758959286	1.320959089
-3.061221245	-0.137203667	2.752253286	1.347220089
-3.069025245	-0.106639667	2.744449286	1.377784089
-3.077996245	-0.071508667	2.735478286	1.412915089
-3.088194245	-0.031568667	2.725280286	1.452855089
-3.099678245	0.013405333	2.713796286	1.497829089
-3.112499245	0.063618333	2.700975286	1.548042089
-3.126706245	0.119255333	2.686768286	1.603679089
-3.142339245	0.180479333	2.671135286	1.664903089
-3.159434245	0.247429333	2.654040286	1.731853089
-3.178022245	0.320224333	2.635452286	1.804648089
-3.198126245	0.398960333	2.615348286	1.883384089
-3.219766245	0.483707333	2.593708286	1.968131089
-3.242953245	0.574515333	2.570521286	2.058939089
-3.267693245	0.671406333	2.545781286	2.155830089
-3.292651454	0.771483344	2.522374081	2.249819579
-3.317713416	0.874755011	2.500386208	2.340946259
-3.34275893	0.981228745	2.479891229	2.429242948
-3.367655649	1.090892371	2.460946491	2.514759319
-3.39226165	1.203722063	2.443597473	2.597547124
-3.416428519	1.319675	2.427871842	2.67767106
-3.440001329	1.438703259	2.413788152	2.755194321
-3.462821818	1.56073937	2.401348975	2.830188429
-3.484724963	1.685705076	2.39054926	2.902731294
-3.505547941	1.813499897	2.381366181	2.972914456
-3.525125288	1.944018076	2.373774	3.040825805
-3.543294731	2.077131083	2.367733853	3.106568348
-3.55989716	2.212702611	2.363202484	3.170246663
-3.57478107	2.35057527	2.360126613	3.23197801
-3.587801305	2.490581641	2.358450523	3.291886331
-3.59882238	2.632543327	2.358116303	3.350095787
-3.607722253	2.776266937	2.359060597	3.406744872
-3.614390487	2.921551385	2.361221721	3.461975983
-3.618732206	3.068178071	2.36453665	3.515943405
-3.620669243	3.215929407	2.3689452	3.568801667
-3.620141108	3.364575115	2.374389085	3.620715251
-3.617106057	3.513882807	2.380814099	3.671850552
-3.61154198	3.66361148	2.388170137	3.72238654
-3.60344689	3.813524151	2.396412836	3.77249647
-3.592839463	3.963376405	2.405503299	3.822365389
-3.579758124	4.11293596	2.415409348	3.872172619
-3.564261212	4.26196426	2.42610588	3.922108255
-3.546428169	4.410234884	2.437572231	3.972354516
-3.526356255	4.557520111	2.449796061	4.023101275
-3.504161447	4.703607099	2.462769401	4.074531375
-3.479976672	4.848291252	2.476490015	4.126831196
-3.453947267	4.991377255	2.490962957	4.180179116
-3.42623476	5.132687956	2.506193408	4.234748072
-3.39701326	5.272045794	2.522192152	4.290716441
-3.366465731	5.409296903	2.538970795	4.348250518
-3.33478213	5.544302879	2.556541867	4.407508454
-3.302158027	5.676933625	2.574919417	4.468645282
-3.268797293	5.807072738	2.594112597	4.53181291
-3.234900271	5.934624364	2.614130645	4.597150122
-3.200670773	6.059498179	2.634977816	4.664791919
-3.166310149	6.181624929	2.656651199	4.734862629
-3.132012991	6.300947786	2.679143246	4.807474254
-3.097972871	6.41741447	2.702439462	4.882742919
-3.064373681	6.53099399	2.726514343	4.960766014
-3.031388173	6.641664521	2.751334819	5.041628644
-2.999183972	6.74940849	2.776857213	5.12541704
-2.967915477	6.854223814	2.803025824	5.212201736
-2.937723073	6.956114123	2.829777109	5.302045908
-2.908734449	7.055098374	2.857030762	5.394992494
-2.881066449	7.151194374	2.884698762	5.491088494
-2.854819073	7.244431123	2.912681109	5.590362908
-2.830075477	7.334848814	2.940865824	5.692826736
-2.806910972	7.42248349	2.969130213	5.79849204
-2.785381173	7.507385521	2.997341819	5.907349644
-2.765529681	7.58960899	3.025358343	6.019381014
-2.747379871	7.66921847	3.053032462	6.134546919
-2.730950991	7.746278786	3.080205246	6.252805254
-2.716244149	7.820857929	3.106717199	6.374095629
-2.703245773	7.893043179	3.132402816	6.498336919
-2.691938271	7.962915364	3.157092645	6.625441122
-2.682289293	8.030564738	3.180620597	6.75530491
-2.674258027	8.096094625	3.202819417	6.887806282
-2.66779613	8.159605879	3.223527867	7.022811454
-2.662848731	8.221215903	3.242587795	7.160169518
-2.65935626	8.281044794	3.259849152	7.299715441
-2.65725676	8.339216956	3.275171408	7.441277072
-2.656483267	8.395866255	3.288426957	7.584668116
-2.656966672	8.451140252	3.299500015	7.729680196
-2.658642447	8.505183099	3.308288401	7.876107375
-2.661445255	8.558151111	3.314707061	8.023732275
-2.665312169	8.610205884	3.318688231	8.172325516
-2.670183212	8.66151326	3.32018388	8.321657255
-2.676002124	8.71224896	3.319165348	8.471485619
-2.682720463	8.762585405	3.315622299	8.621574389
-2.68725989	9.012682151	3.312599836	8.97165447
-2.69565098	9.06276748	3.304061137	9.12154254
-2.704827057	9.113003807	3.293093099	9.270971552
-2.714764108	9.163574115	3.279766085	9.419714251
-2.725443243	9.214668407	3.2641712	9.567540667
-2.736850206	9.266470071	3.24641865	9.714235405
-2.748978487	9.319161385	3.226633721	9.859585983
-2.761826253	9.372920937	3.204956597	10.00339887
