0	0	0.25	width	Front left	x	y	Front right	x	y
-0.000049	0.000191	0.25	6		-3.0304882448	-0.2575646669		2.7829862855	1.2268590886
-0.000244	0.000955	0.25	length		-3.0306832448	-0.2568006669		2.7827912855	1.2276230886
-0.000682	0.002671	0.25	1		-3.0311212448	-0.2550846669		2.7823532855	1.2293390886
-0.001459	0.005715	0.25			-3.0318982448	-0.2520406669		2.7815762855	1.2323830886
-0.00267	0.010458	0.25			-3.0331092448	-0.2472976669		2.7803652855	1.2371260886
-0.004408	0.017262	0.25			-3.0348472448	-0.2404936669		2.7786272855	1.2439300886
-0.006762	0.026483	0.25			-3.0372012448	-0.2312726669		2.7762732855	1.2531510886
-0.009822	0.038468	0.25			-3.0402612448	-0.2192876669		2.7732132855	1.2651360886
-0.013674	0.053551	0.25			-3.0441132448	-0.2042046669		2.7693612855	1.2802190886
-0.018399	0.072056	0.25			-3.0488382448	-0.1856996669		2.7646362855	1.2987240886
-0.024076	0.094291	0.25			-3.0545152448	-0.1634646669		2.7589592855	1.3209590886
-0.030782	0.120552	0.25			-3.0612212448	-0.1372036669		2.7522532855	1.3472200886
-0.038586	0.151116	0.25			-3.0690252448	-0.1066396669		2.7444492855	1.3777840886
-0.047557	0.186247	0.25			-3.0779962448	-0.0715086669		2.7354782855	1.4129150886
-0.057755	0.226187	0.25			-3.0881942448	-0.0315686669		2.7252802855	1.4528550886
-0.069239	0.271161	0.25			-3.0996782448	0.0134053331		2.7137962855	1.4978290886
-0.08206	0.321374	0.25			-3.1124992448	0.0636183331		2.7009752855	1.5480420886
-0.096267	0.377011	0.25			-3.1267062448	0.1192553331		2.6867682855	1.6036790886
-0.1119	0.438235	0.25			-3.1423392448	0.1804793331		2.6711352855	1.6649030886
-0.128995	0.505185	0.25			-3.1594342448	0.2474293331		2.6540402855	1.7318530886
-0.147583	0.57798	0.25			-3.1780222448	0.3202243331		2.6354522855	1.8046480886
-0.167687	0.656716	0.25			-3.1981262448	0.3989603331		2.6153482855	1.8833840886
-0.189327	0.741463	0.25			-3.2197662448	0.4837073331		2.5937082855	1.9681310886
-0.212514	0.832271	0.25			-3.2429532448	0.5745153331		2.5705212855	2.0589390886
-0.237254	0.929162	0.25			-3.2676932448	0.6714063331		2.5457812855	2.1558300886
-0.261944	1.026066	0.248953			-3.2926514539	0.7714833437		2.5223740814	2.2498195789
-0.286481	1.123009	0.246865			-3.3177134155	0.8747550112		2.5003862075	2.3409462593
-0.310766	1.220015	0.243742			-3.3427589295	0.9812287453		2.4798912291	2.4292429478
-0.334699	1.317109	0.239597			-3.3676556494	1.0908923713		2.4609464914	2.5147593189
-0.35818	1.414313	0.234446			-3.3922616497	1.203722063		2.4435974729	2.5975471241
-0.381112	1.511648	0.228311			-3.4164285185	1.3196750002		2.4278718419	2.6776710598
-0.403399	1.609133	0.221215			-3.4400013288	1.4387032587		2.4137881517	2.7551943214
-0.424949	1.706783	0.213186			-3.462821818	1.5607393702		2.4013489749	2.8301884286
-0.445669	1.804612	0.204255			-3.4847249625	1.685705076		2.3905492595	2.9027312943
-0.465473	1.902631	0.194459			-3.5055479409	1.8134998973		2.3813661811	2.9729144564
-0.484275	2.000847	0.183835			-3.5251252879	1.944018076		2.3737739997	3.0408258053
-0.501994	2.099264	0.172426			-3.5432947306	2.0771310828		2.3677338531	3.1065683478
-0.518552	2.197883	0.160276			-3.5598971595	2.2127026112		2.3632024842	3.1702466628
-0.533877	2.296701	0.147434			-3.57478107	2.3505752702		2.3601266133	3.2319780104
-0.5479	2.395713	0.133951			-3.5878013045	2.4905816407		2.3584505228	3.2918863306
-0.560557	2.494908	0.119879			-3.5988223796	2.6325433272		2.358116303	3.3500957866
-0.571791	2.594274	0.105274			-3.6077222527	2.7762669366		2.3590605968	3.4067448717
-0.581549	2.693796	0.090193			-3.6143904869	2.9215513848		2.3612217205	3.4619759832
-0.589784	2.793455	0.074697			-3.6187322059	3.0681780711		2.3645366503	3.5159434049
-0.596456	2.893231	0.058846			-3.6206692429	3.2159294067		2.3689451995	3.568801667
-0.601531	2.993101	0.042703			-3.6201411077	3.3645751146		2.374389085	3.6207152508
-0.604982	3.09304	0.026331			-3.6171060565	3.5138828072		2.380814099	3.671850552
-0.606788	3.193023	0.009796			-3.6115419804	3.6636114798		2.3881701371	3.7223865398
-0.606936	3.293022	-0.006838			-3.6034468896	3.8135241506		2.3964128363	3.7724964704
-0.605419	3.393009	-0.023504			-3.5928394631	3.9633764048		2.4055032991	3.8223653889
-0.602238	3.492957	-0.040138			-3.5797581241	4.1129359596		2.4154093476	3.872172619
-0.597399	3.592839	-0.056673			-3.5642612122	4.2619642603		2.4261058797	3.922108255
